name,dist_rnn_vs_inter,dist_rnn_vs_extr,dist_inter_vs_extr
13,1.0147769301138156e-06,1.0147769301138156e-06,1.3352328027813364e-08
22,0.00015923986405970216,0.00022232961399112032,0.00015523416565135816
7,0.0003975789193561707,0.004125882712922357,0.0037583598839567942
28,0.0007130276690132614,0.0007300518872487235,3.105751499269388e-05
26,1.0147769301138156e-06,1.0147769301138156e-06,1.3352328027813364e-08
9,0.00023735098302241035,0.0007190362166257775,0.000523758419219007
11,0.00036353048288524664,0.004376238863443857,0.0042570693357956236
3,0.00013820994741589612,0.0002724008440954204,0.00014622134423258415
5,0.02233378482805005,0.01492624704641989,0.023412319124496674
24,6.811022526987596e-05,8.914014191368201e-05,3.7066062605209896e-05
27,0.00016524841167221818,0.00024035525682866834,0.00011317433236374607
21,0.00011417575696583207,0.00018427547911185224,7.211592367821998e-05
19,0.03237807358697265,0.052405564204090614,0.03410753387477518
29,0.00016424698707013217,0.0023473526196176172,0.002197138929304717
6,0.00018227262990768022,0.0001772655068972502,1.1029022950973838e-05
16,9.915438793454204e-05,0.000522756994616921,0.00045966724468550285
20,0.00037354472890610666,0.0015862699220322554,0.001360949386562905
15,2.2044693573919862e-05,2.2044693573919862e-05,1.3352328027813364e-08
