name,extraction_time,Timeout,dfa_extract_states,dfa_extract_final,dist_rnn_vs_inter,dist_rnn_vs_extr,dist_inter_vs_extr
13,2.23,300,8,1,1.6690410034766703e-06,1.6690410034766703e-06,0.0
22,1.83e+02,300,252,200,0.00015054749851359567,0.0002350009732895152,0.00015522081332333034
7,3.25e+02,300,274,68,0.00037086091097251615,0.003901216441526369,0.0035463783241872293
28,3.18e+02,300,267,217,0.0007400527809415556,0.0007600812729832756,3.071035446397074e-05
26,2.96,300,9,4,6.676164013906682e-07,6.676164013906682e-07,0.0
9,3.02e+02,300,272,177,0.0002319966994832572,0.0007146833576887103,0.0005214084094861118
11,2.71e+02,300,236,148,0.00037186233557460216,0.004382901675129737,0.004242034614436305
3,2.54e+02,300,264,198,0.00013786278688717298,0.0002900793264042453,0.00016490125114349504
5,1.7e+02,300,253,11,0.02241755733409655,0.014890850024818159,0.023553506641062774
24,2.51e+02,300,261,153,7.076733854741083e-05,8.779155678287286e-05,2.9041313460494064e-05
27,1.87e+02,300,253,121,0.00018492974318521507,0.00026671275235557194,0.00013385708847882898
21,2.75e+02,300,251,105,0.00010448196681763957,0.0001772521545692224,8.011396816688017e-05
19,2.05e+02,300,267,100,0.03257066756644583,0.05253940794024141,0.034223018159887736
29,4.28e+02,300,256,65,0.00013318947207743829,0.0023503435410958473,0.002233176862651785
6,2.91e+02,300,268,19,0.00020195396142067712,0.00019527779740677044,8.011396816688017e-06
16,2.04e+03,300,249,127,7.544065335714551e-05,0.00045197630374148236,0.0004025726900385729
20,1.75e+03,300,244,110,0.00035383669273705414,0.001551540516831913,0.001371951704857823
15,86.9,300,23,14,3.8054134879268086e-05,3.7720326678572754e-05,3.338082006953341e-07
