name,during_time_spec,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries,dist_rnn_vs_inter,dist_rnn_vs_extr,dist_inter_vs_extr
13,1.09,8,1,2476,0.0,0.0,0.0
22,2.66,11,8,5105,0.00015021369031290033,0.00015021369031290033,0.0
7,6.08,19,5,8072,0.0004005698408344009,0.0004005698408344009,0.0
28,1.13e+02,56,45,77573,0.0007260328365123516,0.0007260328365123516,0.0
26,1.49,9,4,3922,0.0,0.0,0.0
9,29.5,67,40,82407,0.00026704656055626726,0.00023366574048673387,3.338082006953341e-05
11,23.8,36,24,31137,0.0003838794307996342,0.0003838794307996342,0.0
3,2.05,14,11,4774,0.00014186848529551698,0.00014186848529551698,0.0
5,9.34e+02,593,9,10959540,0.021847746735509616,0.01073193365235499,0.023366574048673386
24,10.3,23,14,11546,0.00010848766522598358,0.00010848766522598358,0.0
27,10.5,19,10,9930,0.00025035615052150056,0.0008178300917035685,0.0005674739411820679
21,3.78,24,9,9950,9.179725519121687e-05,9.179725519121687e-05,0.0
19,9.44e+02,590,224,9066638,0.032479537927656,0.046290852231425456,0.031002436639579155
29,5.37,20,5,8270,0.00016690410034766705,0.00016690410034766705,0.0
6,4.21,21,1,11887,0.0001752493053650504,0.00018359451038243375,8.345205017383352e-06
16,5.68,21,12,8830,7.510684515645016e-05,7.510684515645016e-05,0.0
20,3.39,17,7,6764,0.0004005698408344009,0.0004005698408344009,0.0
15,2.45,16,10,6378,2.5035615052150056e-05,2.5035615052150056e-05,0.0
