name,alphabet,rnn_time,rnn_hidden_dim,rnn_layers,rnn_testing_acc,rnn_val_acc,rnn_dataset_learning,rnn_dataset_testing,extraction_time,dfa_extract_states,dfa_extract_final,num_of_mem_quarries_extracted,dist_rnn_vs_target,dist_rnn_vs_extr,dist_target_vs_extr,membership_queries_distance
tomita_1,2,1.12e+03,100,3,1e+02,6.89,50240,3140,4.47,2,1,9208,8.345205017383352e-06,8.345205017383352e-06,0.0,119829
tomita_2,2,1.49e+03,100,3,1e+02,1e+02,50140,3080,3.81,3,1,10425,0.0,0.0,0.0,119829
tomita_3,2,7.92e+03,100,3,1e+02,99.6,50000,3020,5.58,5,3,12899,1.6690410034766704e-05,1.6690410034766704e-05,0.0,119829
tomita_4,2,2.09e+02,100,3,1e+02,1e+02,50000,3020,5.11,4,3,11666,0.0,0.0,0.0,119829
tomita_5,2,1.03e+03,100,3,1e+02,1e+02,50000,3020,4.6,4,1,11679,0.0,0.0,0.0,119829
tomita_6,2,1.69e+03,100,3,99.5,99.5,50000,3020,31.9,19,7,82710,0.0042310189438133595,0.0,0.0042310189438133595,119829
tomita_7,2,3.45e+02,100,3,1e+02,99.2,50000,3020,5.6,5,4,12901,0.0,0.0,0.0,119829
alternating_bit_dfa,4,1.84e+03,100,3,99.9,1e+02,50560,3120,1.39e+02,31,3,306304,0.00026704656055626726,4.172602508691676e-05,0.00022532053546935052,119829
e_commerce_dfa,7,1.24e+03,100,3,1e+02,0.0,50000,3020,3.41,1,0,8002,0.0,0.0,0.0,119829
balanced_parentheses0,2,1.14e+03,100,3,1e+02,99.9,53020,3200,44.8,18,1,105010,0.0,3.338082006953341e-05,3.338082006953341e-05,119829
balanced_parentheses5,7,1.64e+03,100,3,1e+02,99.7,50000,3020,9.03e+02,330,90,6844634,0.00024201094550411722,0.00028373697059103396,7.510684515645016e-05,119829
balanced_parentheses10,12,7.33e+02,100,3,1e+02,1e+02,50000,3020,19.7,11,1,37341,5.841643512168347e-05,8.345205017383353e-05,4.172602508691676e-05,119829
balanced_parentheses15,17,1.46e+03,100,3,1e+02,99.9,50000,3020,46.9,11,1,67365,1.6690410034766704e-05,1.6690410034766704e-05,0.0,119829
balanced_parentheses20,22,9.28e+02,100,3,1e+02,99.5,50000,3020,17.9,9,1,30515,2.5035615052150056e-05,6.676164013906682e-05,4.172602508691676e-05,119829
balanced_parentheses25,27,1.65e+03,100,3,1e+02,1e+02,50000,3020,9.02e+02,297,212,12179244,0.00014186848529551698,0.001210054727520586,0.0011349478823641358,119829
